Sl. No,Value
1,0.310825
2,0.6808
3,0.00275299
4,0.0159044
5,0.302269
6,0.212522
7,-0.280177
8,-0.4273
9,-0.276466
10,-0.018853
11,-0.571458
12,-0.428839
13,-0.614853
14,0.370886
15,-0.426605
16,-0.380809
17,-0.672081
18,0.546707
19,0.659187
20,-0.662433
21,0.455918
22,0.162233
23,0.28466
24,-0.569237
25,-0.466907
26,0.310333
27,-0.736849
28,0.625229
29,-0.0641602
30,-0.127282
31,0.650785
32,-0.789244
33,-0.305839
34,-0.260985
35,0.541838
36,-0.401458
37,-0.241588
38,0.319066
39,-0.387566
40,-0.290536
41,0.392945
42,0.550392
43,0.187859
44,0.397434
45,-0.513334
46,-0.135316
47,-0.156189
48,-0.46822
49,-0.575623
50,0.597191
51,-0.425739
52,-0.689368
53,0.397455
54,0.032034
55,-0.246925
56,-0.479971
57,-0.503484
58,0.678281
59,0.129456
60,0.161218
61,0.233141
62,-0.0851826
63,-0.415697
64,-0.194855
65,-0.484259
66,-0.313712
67,-0.465376
68,-0.415051
69,0.514017
70,-0.544374
71,-0.313121
72,-0.660816
73,0.400159
74,-0.593605
75,0.292751
76,-0.336392
77,0.0874123
78,-0.241675
79,0.669654
80,-0.332489
81,0.0791029
82,-0.0172415
83,-0.484928
84,-0.571767
85,-0.348898
86,0.150595
87,-0.466413
88,-0.574827
89,0.137969
90,0.0404319
91,0.101236
92,-0.181681
93,-0.552081
94,0.308243
95,0.370024
96,0.191288
97,0.266741
98,0.468682
99,-0.101079
100,-0.415043
101,-0.474564
102,-0.308487
103,-0.0472164
104,-0.594216
105,-0.0558529
106,-0.235579
107,-0.39689
108,0.144934
109,0.587851
110,0.385924
111,-0.352178
112,0.0315951
113,0.589199
114,0.399987
115,0.0351599
116,0.0302796
117,-0.274684
118,0.0645831
119,0.550609
120,0.181307
121,0.515837
122,-0.0512697
123,-0.492903
124,-0.270755
125,-0.564304
126,0.38891
127,0.417871
128,0.523375
129,-0.0455924
130,-0.550732
131,-0.270479
132,-0.506119
133,-0.170728
134,0.0340166
135,0.110674
136,-0.0101409
137,0.312236
138,0.558036
139,0.20633
140,0.0404908
141,-0.0571196
142,-0.62205
143,0.0892335
144,0.509748
145,0.182627
146,-0.0568288
147,-0.610976
148,0.307993
149,-0.356204
150,-0.59733
151,0.486916
152,0.450342
153,-0.593029
154,-0.4733
155,0.518964
156,0.16992
157,-0.549193
158,-0.438538
159,0.468509
160,-0.637606
161,0.208644
162,0.298531
163,-0.0660061
164,0.167803
165,-0.189699
166,-0.49476
167,-0.234536
168,-0.465287
169,0.185453
170,-0.176925
171,0.454807
172,-0.399016
173,0.10624
174,-0.11535
175,0.399542
176,-0.337458
177,-0.553985
178,-0.449319
179,0.606084
180,-0.138763
181,-0.683202
182,0.236572
183,-0.428036
184,-0.269055
185,0.189237
